title,make,model,year,condition,transmission,price
Peugeot 308 2009 Red,Peugeot,308,2009,Local Used,Automatic,6960937.0
Hyundai Sonata Limited w/Brown Leather 4dr Sedan (2.4L 4cyl 6A) 2015,Hyundai,Sonata Limited,2015,Foreign Used,Automatic,16000000.0
Toyota Tacoma 2004 Silver,Toyota,Tacoma,2004,Local Used,Automatic,7500000.0
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6AM) 2007 Silver,Toyota,Camry SE,2007,Local Used,Automatic,4600000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Gray,Toyota,Camry LE,2007,Local Used,Automatic,6500000.0
Honda Crosstour 2010 Gray,Honda,Crosstour,2010,Local Used,Automatic,9500000.0
Hyundai Ix35 2011 Gray,Hyundai,Ix35,2011,Local Used,Automatic,7500000.0
Toyota Highlander Limited V6 4x4 2007 Red,Toyota,Highlander Limited,2007,Local Used,Automatic,6000000.0
Honda Accord EX-L V-6 4dr Sedan (3.5L 6cyl 6A) 2014 Gray,Honda,Accord EX-L,2014,Local Used,Automatic,9350000.0
Honda Accord 2025 Black,Honda,Accord,2025,Local Used,Automatic,1850000.0
Changan UNI-K 2.0 Petrol AWD 2021 Black,Changan,UNI-K 2,2021,Foreign Used,Automatic,16500000.0
Honda Accord Sedan EX 2006 Silver,Honda,Accord Sedan,2006,Local Used,Automatic,3500000.0
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2009 Gray,Toyota,Camry LE,2009,Local Used,Automatic,6500000.0
Lexus ES 350 2008 Gray,Lexus,ES 350,2008,Local Used,Manual,6000000.0
Toyota Corolla Sedan Automatic 2003 Gold,Toyota,Corolla Sedan,2003,Local Used,Automatic,4000000.0
Lexus ES 350 2009 Red,Lexus,ES 350,2009,Foreign Used,Automatic,10000000.0
Mercedes-Benz C230 2007 Black,Mercedes Benz,C230,2007,Local Used,Automatic,4600000.0
Toyota Camry 2.4 LE 2008 Blue,Toyota,Camry 2,2008,Local Used,Automatic,5500000.0
