title,make,model,year,condition,transmission,price
Toyota Sienna 2016 Gold,Toyota,Sienna,2016,foreign used,automatic,"₦ 19,000,000"
Acura MDX 2008 Black,Acura,MDX,2008,local used,automatic,"₦ 3,900,000"
Mercedes-Benz M Class ML 350 BlueTEC 4Matic 2013 Black,Mercedes-Benz,M Class,2013,local used,automatic,"₦ 15,600,000"
Toyota Camry 2020 Red,Toyota,Camry,2020,foreign used,automatic,"₦ 29,700,000"
Pontiac Vibe 1.8 AWD 2005 Blue,Pontiac,Vibe 1,2005,local used,manual,"₦ 3,700,000"
Toyota Avalon 2014 Black,Toyota,Avalon,2014,foreign used,automatic,"₦ 13,000,000"
Lexus RX 350 AWD 2017 Black,Lexus,RX 350,2017,foreign used,automatic,"₦ 42,500,000"
Lexus ES 350 2009 Black,Lexus,ES 350,2009,local used,automatic,"₦ 5,900,000"
Mercedes-Benz GLK-Class 350 4MATIC 2010 Red,Mercedes-Benz,GLK-Class 350,2010,foreign used,automatic,"₦ 10,900,000"
Acura MDX 2016 Black,Acura,MDX,2016,foreign used,automatic,"₦ 14,350,000"
Toyota Highlander 2013 Black,Toyota,Highlander,2013,foreign used,automatic,"₦ 18,000,000"
Toyota Corolla 2014 Gray,Toyota,Corolla,2014,local used,automatic,"₦ 8,700,000"
Peugeot 407 1.6 SW HDi 110 2008 Black,Peugeot,407 1,2008,local used,automatic,"₦ 2,600,000"
Toyota Land Cruiser 2013 Black,Toyota,Land Cruiser,2013,local used,automatic,"₦ 25,000,000"
Chevrolet Cruze 2014 Gray,Chevrolet,Cruze,2014,local used,automatic,"₦ 15,820,312"
Lexus RX 2007 Silver,Lexus,RX,2007,local used,automatic,"₦ 8,505,000"
Toyota Highlander V6 2005 Gold,Toyota,Highlander V6,2005,local used,automatic,"₦ 5,000,000"
Peugeot 308 2009 Red,Peugeot,308,2009,local used,automatic,"₦ 6,960,937"
Hyundai Sonata Limited w/Brown Leather 4dr Sedan (2.4L 4cyl 6A) 2015,Hyundai,Sonata Limited,2015,foreign used,automatic,"₦ 16,000,000"
Toyota Tacoma 2004 Silver,Toyota,Tacoma,2004,local used,automatic,"₦ 7,500,000"
Toyota Camry SE V6 4dr Sedan (3.5L 6cyl 6AM) 2007 Silver,Toyota,Camry SE,2007,local used,automatic,"₦ 4,600,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Gray,Toyota,Camry LE,2007,local used,automatic,"₦ 6,500,000"
Honda Crosstour 2010 Gray,Honda,Crosstour,2010,local used,automatic,"₦ 9,500,000"
Hyundai Ix35 2011 Gray,Hyundai,Ix35,2011,local used,automatic,"₦ 7,500,000"
Toyota Hilux 2023 White,Toyota,Hilux,2023,foreign used,automatic,"₦ 50,000,000"
Toyota Highlander Limited V6 4x4 2007 Red,Toyota,Highlander Limited,2007,local used,automatic,"₦ 6,000,000"
Honda Accord EX-L V-6 4dr Sedan (3.5L 6cyl 6A) 2014 Gray,Honda,Accord EX-L,2014,local used,automatic,"₦ 9,350,000"
Honda Accord 2025 Black,Honda,Accord,2025,local used,automatic,"₦ 1,850,000"
Changan UNI-K 2.0 Petrol AWD 2021 Black,Changan,UNI-K 2,2021,foreign used,automatic,"₦ 16,500,000"
Honda Accord Sedan EX 2006 Silver,Honda,Accord Sedan,2006,local used,automatic,"₦ 3,500,000"
Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2009 Gray,Toyota,Camry LE,2009,local used,automatic,"₦ 6,500,000"
Lexus ES 350 2008 Gray,Lexus,ES 350,2008,local used,manual,"₦ 6,000,000"
Toyota Corolla Sedan Automatic 2003 Gold,Toyota,Corolla Sedan,2003,local used,automatic,"₦ 4,000,000"
Lexus ES 350 2009 Red,Lexus,ES 350,2009,foreign used,automatic,"₦ 10,000,000"
Mercedes-Benz C230 2007 Black,Mercedes-Benz,C230,2007,local used,automatic,"₦ 4,600,000"
Toyota Camry 2.4 LE 2008 Blue,Toyota,Camry 2,2008,local used,automatic,"₦ 5,500,000"
Mercedes-Benz GLC-Class 2016 Black,Mercedes-Benz,GLC-Class,2016,local used,automatic,"₦ 16,500,000"
Toyota Camry Base 4dr Sedan (2.5L 4cyl 6M) 2010 Gray,Toyota,Camry Base,2010,local used,automatic,"₦ 6,000,000"
Toyota Yaris 2017 White,Toyota,Yaris,2017,local used,automatic,"₦ 10,000,000"
Mercedes-Benz GLK-Class 350 4MATIC 2011 White,Mercedes-Benz,GLK-Class 350,2011,local used,automatic,"₦ 12,500,000"
Toyota Camry 2001 Gray,Toyota,Camry,2001,local used,automatic,"₦ 1,900,000"
Mercedes-Benz GLE-Class 2022 White,Mercedes-Benz,GLE-Class,2022,foreign used,automatic,"₦ 113,273,437"
Toyota Sienna LE AWD 2005 Silver,Toyota,Sienna LE,2005,local used,automatic,"₦ 5,800,000"
Toyota Camry 2006 Gray,Toyota,Camry,2006,foreign used,automatic,"₦ 11,500,000"
Hyundai Elantra Limited 4dr Sedan (1.8L 4cyl 6A) 2014 White,Hyundai,Elantra Limited,2014,foreign used,automatic,"₦ 10,900,000"
Mercedes-Benz GLE-Class GLE 350 2017 White,Mercedes-Benz,GLE-Class GLE,2017,foreign used,automatic,"₦ 31,000,000"
Mercedes-Benz M Class 2015 Blue,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 18,500,000"
Jaguar XF R 2012 Black,Jaguar,XF R,2012,local used,automatic,"₦ 11,000,000"
Toyota Camry LE 4dr Sedan (2.5L 4cyl 6A) 2011 Gray,Toyota,Camry LE,2011,local used,automatic,"₦ 6,900,000"
Toyota RAV4 2016 Blue,Toyota,RAV4,2016,foreign used,automatic,"₦ 32,000,000"
Lexus RX 350 FWD 2018 Gray,Lexus,RX 350,2018,local used,automatic,"₦ 20,000,000"
Honda Accord 2006,Honda,Accord,2006,local used,automatic,"₦ 2,550,000"
Mercedes-Benz C300 2008 Red,Mercedes-Benz,C300,2008,local used,automatic,"₦ 7,500,000"
Toyota Matrix 2005 Blue,Toyota,Matrix,2005,local used,automatic,"₦ 4,081,640"
Chevrolet Equinox LS AWD 2006 Silver,Chevrolet,Equinox LS,2006,local used,automatic,"₦ 4,000,000"
Honda Accord 2009 Gray,Honda,Accord,2009,local used,automatic,"₦ 4,429,687"
Toyota Camry 2011 Gray,Toyota,Camry,2011,foreign used,automatic,"₦ 5,900,000"
Honda Accord 2013 Silver,Honda,Accord,2013,local used,automatic,"₦ 9,800,000"
Lexus ES 350 2009 Black,Lexus,ES 350,2009,foreign used,automatic,"₦ 11,000,000"
New Toyota Hilux 2025 Black,Toyota,Hilux,2025,brand new,automatic,"₦ 98,000,000"
