title,make,model,year,condition,transmission,price
Toyota Sienna XLE Limited 2007 Gold,Toyota,Sienna XLE,2007,foreign used,automatic,"₦ 14,000,000"
Honda Accord 2017 Gray,Honda,Accord,2017,foreign used,automatic,"₦ 24,000,000"
Toyota Avalon Limited 4dr Sedan (3.5L 6cyl 6A) 2014 White,Toyota,Avalon Limited,2014,foreign used,automatic,"₦ 16,500,000"
Toyota RAV4 2.5 Limited 4x4 2012 Gray,Toyota,RAV4 2,2012,foreign used,automatic,"₦ 16,400,000"
Toyota Avensis 1.8 C Combi 2005 Silver,Toyota,Avensis 1,2005,foreign used,automatic,"₦ 12,000,000"
Toyota RAV4 2018 Silver,Toyota,RAV4,2018,foreign used,automatic,"₦ 39,500,000"
Honda Civic 2016 Gray,Honda,Civic,2016,local used,automatic,"₦ 12,100,000"
Mercedes-Benz C230 2007 Silver,Mercedes-Benz,C230,2007,local used,automatic,"₦ 5,950,000"
Honda Accord 2009 Maroon,Honda,Accord,2009,foreign used,automatic,"₦ 9,200,000"
Honda Civic 2015 Black,Honda,Civic,2015,foreign used,automatic,"₦ 10,500,000"
Peugeot 206 2004 Green,Peugeot,206,2004,local used,automatic,"₦ 3,300,000"
Peugeot 406 2004 Gold,Peugeot,406,2004,local used,manual,"₦ 5,600,000"
Acura MDX 2015 Red,Acura,MDX,2015,foreign used,automatic,"₦ 14,000,000"
Lexus ES 350 2011 White,Lexus,ES 350,2011,foreign used,automatic,"₦ 13,000,000"
Toyota Camry LE V6 4dr Sedan (3.5L 6cyl 6AM) 2009 Blue,Toyota,Camry LE,2009,foreign used,automatic,"₦ 9,500,000"
Toyota Venza Limited AWD V6 2013 Gray,Toyota,Venza Limited,2013,foreign used,automatic,"₦ 16,000,000"
Acura MDX 2006 Black,Acura,MDX,2006,foreign used,automatic,"₦ 7,500,000"
Honda Accord 2017 White,Honda,Accord,2017,foreign used,automatic,"₦ 26,000,000"
Acura MDX SH-AWD 4dr SUV AWD (3.5L 6cyl 6A) 2015 Green,Acura,MDX SH-AWD,2015,foreign used,automatic,"₦ 13,500,000"
Peugeot 508 2015 Black,Peugeot,508,2015,local used,automatic,"₦ 8,200,000"
BMW 3 Series 2007 White,BMW,3 Series,2007,local used,automatic,"₦ 6,000,000"
Honda Accord 2014 Maroon,Honda,Accord,2014,foreign used,automatic,"₦ 12,000,000"
Pontiac Vibe Automatic 2004 Black,Pontiac,Vibe Automatic,2004,foreign used,automatic,"₦ 8,200,000"
Land Rover Range Rover Evoque 2021 Black,Land,Rover Range,2021,foreign used,automatic,"₦ 52,000,000"
Honda Accord 2012 Black,Honda,Accord,2012,local used,automatic,"₦ 6,200,000"
BMW X6 2014 Black,BMW,X6,2014,local used,automatic,"₦ 13,800,000"
Acura MDX 2012 Silver,Acura,MDX,2012,foreign used,automatic,"₦ 10,735,000"
Toyota Camry 2017 Black,Toyota,Camry,2017,foreign used,automatic,"₦ 17,700,000"
Lexus RX 330 2006,Lexus,RX 330,2006,foreign used,automatic,"₦ 12,300,000"
Toyota Venza 2011 Brown,Toyota,Venza,2011,local used,automatic,"₦ 10,500,000"
Toyota Camry 2012 Gold,Toyota,Camry,2012,foreign used,automatic,"₦ 11,800,000"
Toyota RAV4 2.5 Limited 2012 Red,Toyota,RAV4 2,2012,foreign used,automatic,"₦ 16,800,000"
Lexus RX 350 AWD 2013 Black,Lexus,RX 350,2013,local used,automatic,"₦ 18,800,000"
Lexus GX 460 Premium 2012 Gold,Lexus,GX 460,2012,foreign used,automatic,"₦ 27,500,000"
Toyota Camry 2013 Silver,Toyota,Camry,2013,foreign used,automatic,"₦ 14,500,000"
Honda Crosstour 3.5 AWD 2013 Black,Honda,Crosstour 3,2013,foreign used,automatic,"₦ 14,500,000"
Toyota Highlander Limited 4dr SUV AWD (3.5L 6cyl 6A) 2015 Black,Toyota,Highlander Limited,2015,foreign used,automatic,"₦ 24,500,000"
Hyundai Elantra 2020 Gray,Hyundai,Elantra,2020,foreign used,automatic,"₦ 17,000,000"
Honda Accord 2009 White,Honda,Accord,2009,local used,automatic,"₦ 6,400,000"
Chevrolet Sonic 2017 Orange,Chevrolet,Sonic,2017,foreign used,automatic,"₦ 14,000,000"
BMW 328i 2011 Blue,BMW,328i,2011,foreign used,automatic,"₦ 11,900,000"
Toyota Camry 2016 Silver,Toyota,Camry,2016,local used,automatic,"₦ 10,300,000"
Volkswagen Jetta 2013 White,Volkswagen,Jetta,2013,local used,automatic,"₦ 6,900,000"
Lexus RX 350 AWD 2009 Black,Lexus,RX 350,2009,foreign used,automatic,"₦ 13,500,000"
Toyota Camry 2011 Black,Toyota,Camry,2011,foreign used,automatic,"₦ 10,700,000"
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2014 Gray,Toyota,RAV4 Limited,2014,foreign used,automatic,"₦ 22,100,000"
Toyota Avensis 2.2 D-Cat Combi 2006 Black,Toyota,Avensis 2,2006,foreign used,automatic,"₦ 11,500,000"
Toyota Corolla 2012 Black,Toyota,Corolla,2012,foreign used,automatic,"₦ 13,000,000"
Toyota Highlander Limited Platinum 4x4 V6 (3.5L 6cyl 8A) 2018 White,Toyota,Highlander Limited,2018,foreign used,automatic,"₦ 40,000,000"
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2012 Blue,Acura,MDX Technology,2012,foreign used,automatic,"₦ 10,500,000"
Toyota Camry 2011 Green,Toyota,Camry,2011,foreign used,automatic,"₦ 12,000,000"
Toyota RAV4 XLE 2021 Black,Toyota,RAV4 XLE,2021,foreign used,automatic,"₦ 68,000,000"
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2012 Silver,Acura,MDX Technology,2012,foreign used,automatic,"₦ 10,500,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2012 Gray,Acura,MDX Advance,2012,foreign used,automatic,"₦ 9,500,000"
Toyota Camry 2016 Red,Toyota,Camry,2016,foreign used,automatic,"₦ 22,000,000"
Toyota Sienna XLE Limited AWD 2005 Gray,Toyota,Sienna XLE,2005,foreign used,automatic,"₦ 11,000,000"
Ford Edge SEL 4dr AWD 2017 Black,Ford,Edge SEL,2017,foreign used,automatic,"₦ 18,000,000"
Kia Morning 2012 Black,Kia,Morning,2012,foreign used,automatic,"₦ 8,000,000"
Honda Civic 2010 Gray,Honda,Civic,2010,local used,automatic,"₦ 5,950,000"
Toyota Camry 2015 Black,Toyota,Camry,2015,local used,automatic,"₦ 11,300,000"
Honda Accord 2010 Gray,Honda,Accord,2010,local used,automatic,"₦ 6,100,000"
Lexus RX 2014 Silver,Lexus,RX,2014,foreign used,automatic,"₦ 23,500,000"
Toyota Highlander 2010 Silver,Toyota,Highlander,2010,foreign used,automatic,"₦ 13,300,000"
Toyota Highlander 2013 Gray,Toyota,Highlander,2013,foreign used,automatic,"₦ 16,500,000"
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2013 Black,Acura,MDX Technology,2013,foreign used,automatic,"₦ 10,500,000"
Toyota Camry 2012 Green,Toyota,Camry,2012,foreign used,automatic,"₦ 15,500,000"
Toyota RAV4 Limited 4dr SUV AWD (2.5L 4cyl 6A) 2018 Black,Toyota,RAV4 Limited,2018,foreign used,automatic,"₦ 34,000,000"
Lexus ES 350 2012 White,Lexus,ES 350,2012,foreign used,automatic,"₦ 13,500,000"
Toyota Avalon XLE Premium 4dr Sedan (3.5L 6cyl 6A) 2014 Black,Toyota,Avalon XLE,2014,foreign used,automatic,"₦ 17,000,000"
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2013 Black,Acura,MDX Technology,2013,foreign used,automatic,"₦ 10,600,000"
Lexus ES 300 2005 Silver,Lexus,ES 300,2005,local used,automatic,"₦ 6,000,000"
Honda Accord EX-L V-6 4dr Sedan w/Navigation (3.5L 6cyl 6A) 2014 Blue,Honda,Accord EX-L,2014,foreign used,automatic,"₦ 13,800,000"
Mercedes-Benz E350 2008 Black,Mercedes-Benz,E350,2008,foreign used,automatic,"₦ 11,600,000"
Peugeot 407 2007 Black,Peugeot,407,2007,local used,automatic,"₦ 4,200,000"
Toyota Yaris 2008 White,Toyota,Yaris,2008,local used,automatic,"₦ 5,800,000"
Mercedes-Benz C200 2003 Black,Mercedes-Benz,C200,2003,local used,automatic,"₦ 4,850,000"
Mercedes-Benz GLK-Class 2014 White,Mercedes-Benz,GLK-Class,2014,local used,automatic,"₦ 11,800,000"
Ford Edge SEL 4dr SUV AWD (2.0L 4cyl Turbo 6A) 2015 Black,Ford,Edge SEL,2015,foreign used,automatic,"₦ 17,000,000"
Toyota Tundra 2017 Brown,Toyota,Tundra,2017,foreign used,automatic,"₦ 40,000,000"
Toyota RAV4 2015 Gray,Toyota,RAV4,2015,foreign used,automatic,"₦ 19,000,000"
Toyota Camry 2011 Gray,Toyota,Camry,2011,foreign used,automatic,"₦ 10,800,000"
Toyota RAV4 2.4 2008 Green,Toyota,RAV4 2,2008,local used,automatic,"₦ 8,000,000"
Lexus ES 2006 Blue,Lexus,ES,2006,local used,automatic,"₦ 5,000,000"
Lexus RX 330 4WD 2005 Silver,Lexus,RX 330,2005,foreign used,automatic,"₦ 12,600,000"
Toyota Highlander XSE 2022 White,Toyota,Highlander XSE,2022,foreign used,automatic,"₦ 85,000,000"
Toyota RAV4 Limited 2008 Red,Toyota,RAV4 Limited,2008,foreign used,automatic,"₦ 12,000,000"
Lexus GX 470 2007 Gold,Lexus,GX 470,2007,foreign used,automatic,"₦ 15,000,000"
Toyota FJ Cruiser 2015 White,Toyota,FJ Cruiser,2015,foreign used,automatic,"₦ 31,000,000"
Honda Accord EX-L 4dr Sedan (2.4L 4cyl CVT) 2015 Gray,Honda,Accord EX-L,2015,foreign used,automatic,"₦ 12,900,000"
Toyota Corolla 2004 Silver,Toyota,Corolla,2004,local used,automatic,"₦ 5,500,000"
Toyota Matrix 2009 Orange,Toyota,Matrix,2009,local used,automatic,"₦ 8,200,000"
Mercedes-Benz C230 1998 Gold,Mercedes-Benz,C230,1998,local used,automatic,"₦ 4,700,000"
Honda Accord Touring V6 4dr Sedan FWD (3.5L 6cyl 6A) 2017 Black,Honda,Accord Touring,2017,foreign used,automatic,"₦ 17,500,000"
Honda Civic 2017 Gray,Honda,Civic,2017,foreign used,automatic,"₦ 14,800,000"
Honda Accord 2017 White,Honda,Accord,2017,local used,automatic,"₦ 10,900,000"
Ford Escape 2016 Maroon,Ford,Escape,2016,foreign used,automatic,"₦ 13,900,000"
Dongfeng Captain 2025 White,Dongfeng,Captain,2025,foreign used,automatic,"₦ 27,500,000"
Toyota Corolla 2012 Silver,Toyota,Corolla,2012,local used,automatic,"₦ 8,900,000"
Mercedes-Benz GLC-Class 2018 White,Mercedes-Benz,GLC-Class,2018,local used,automatic,"₦ 19,000,000"
Toyota Tacoma Double Cab 4x2 PreRunner 4.0L V6 5-Speed Automatic 2013,Toyota,Tacoma Double,2013,local used,automatic,"₦ 14,000,000"
Mercedes-Benz GLK-Class 350 2010 Black,Mercedes-Benz,GLK-Class 350,2010,local used,automatic,"₦ 7,300,000"
Acura MDX Technology Package AWD (3.7L 6cyl 5A) 2009 Black,Acura,MDX Technology,2009,foreign used,automatic,"₦ 9,900,000"
Acura MDX 2008 Red,Acura,MDX,2008,foreign used,automatic,"₦ 9,500,000"
Honda Accord EX-L V-6 2dr Coupe (3.5L 6cyl 6A) 2015 Silver,Honda,Accord EX-L,2015,foreign used,automatic,"₦ 16,500,000"
Lexus RX 350 AWD 2014 Black,Lexus,RX 350,2014,foreign used,automatic,"₦ 19,000,000"
Toyota Land Cruiser Prado 2023 White,Toyota,Land Cruiser,2023,foreign used,automatic,"₦ 70,000,000"
Toyota Camry 2010 Silver,Toyota,Camry,2010,foreign used,automatic,"₦ 12,000,000"
Mercedes-Benz C300 2014 Blue,Mercedes-Benz,C300,2014,local used,automatic,"₦ 10,300,000"
Peugeot 307 2007 Blue,Peugeot,307,2007,local used,automatic,"₦ 4,300,000"
Acura MDX 2012 Black,Acura,MDX,2012,foreign used,automatic,"₦ 10,500,000"
Lexus RX 350 AWD 2009 Silver,Lexus,RX 350,2009,foreign used,automatic,"₦ 13,700,000"
Lexus RX 2010 Gray,Lexus,RX,2010,local used,automatic,"₦ 13,420,000"
Acura MDX Advance and Entertainment Packages 4dr SUV (3.5L 6cyl 6A),,,,foreign used,automatic,"₦ 13,000,000"
Acura MDX Advance and Entertainment Packages 4dr SUV (3.5L 6cyl 6A),,,,foreign used,automatic,"₦ 14,000,000"
Toyota Corolla 2007 Blue,Toyota,Corolla,2007,foreign used,automatic,"₦ 11,000,000"
Toyota Camry 2014 Black,Toyota,Camry,2014,foreign used,automatic,"₦ 15,600,000"
Honda Accord 2017 Red,Honda,Accord,2017,foreign used,automatic,"₦ 16,700,000"
Honda Accord 2012 Maroon,Honda,Accord,2012,local used,automatic,"₦ 6,950,000"
Honda Accord LX 4dr Sedan FWD (2.4L 4cyl 2A) 2017 Black,Honda,Accord LX,2017,foreign used,automatic,"₦ 14,500,000"
Honda Accord Sedan EX-L 2010 Gray,Honda,Accord Sedan,2010,local used,automatic,"₦ 6,000,000"
Mercedes-Benz C450 2016 Red,Mercedes-Benz,C450,2016,foreign used,automatic,"₦ 35,000,000"
Toyota Camry 2009 Silver,Toyota,Camry,2009,foreign used,automatic,"₦ 9,500,000"
Lexus RX 2002 Black,Lexus,RX,2002,local used,automatic,"₦ 4,000,000"
Toyota Highlander 2001 Red,Toyota,Highlander,2001,local used,automatic,"₦ 3,300,000"
Acura MDX Advance Package SUV AWD (3.7L 6cyl 6A) 2013 Black,Acura,MDX Advance,2013,foreign used,automatic,"₦ 10,500,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2013 Black,Toyota,Camry SE,2013,foreign used,automatic,"₦ 14,000,000"
Lexus RX 350 AWD 2015 Gray,Lexus,RX 350,2015,foreign used,automatic,"₦ 22,500,000"
Lexus ES 350 FWD 2015 Black,Lexus,ES 350,2015,foreign used,automatic,"₦ 18,300,000"
Toyota Camry XSE V6 2022 Black,Toyota,Camry XSE,2022,foreign used,automatic,"₦ 45,000,000"
Lexus IS 250 2008 Silver,Lexus,IS 250,2008,foreign used,automatic,"₦ 10,000,000"
Toyota Camry SE 4dr Sedan (2.4L 4cyl 5A) 2009 Black,Toyota,Camry SE,2009,foreign used,automatic,"₦ 11,000,000"
Toyota Highlander Limited 4x4 V6 (3.5L 6cyl 8A) 2018 Blue,Toyota,Highlander Limited,2018,foreign used,automatic,"₦ 39,000,000"
Acura MDX 2015 Red,Acura,MDX,2015,foreign used,automatic,"₦ 14,200,000"
Honda Crosstour 2011 Black,Honda,Crosstour,2011,local used,automatic,"₦ 7,300,000"
Honda Civic 2018 Gray,Honda,Civic,2018,foreign used,automatic,"₦ 15,000,000"
Peugeot 206 2004 Black,Peugeot,206,2004,local used,automatic,"₦ 2,950,000"
BMW 528i 2012 White,BMW,528i,2012,foreign used,automatic,"₦ 17,500,000"
Toyota Corolla 2016 Gray,Toyota,Corolla,2016,foreign used,automatic,"₦ 12,800,000"
Honda Accord 2018 Gray,Honda,Accord,2018,foreign used,automatic,"₦ 22,500,000"
Honda Accord EX-L V-6 2dr Coupe (3.5L 6cyl 6M) 2014 White,Honda,Accord EX-L,2014,foreign used,automatic,"₦ 12,500,000"
BMW 328i 2010 Black,BMW,328i,2010,local used,automatic,"₦ 6,500,000"
Honda CR-V 2016 Maroon,Honda,CR-V,2016,local used,automatic,"₦ 11,500,000"
Lexus ES 350 2009 White,Lexus,ES 350,2009,local used,automatic,"₦ 7,800,000"
Toyota RAV4 2008 Red,Toyota,RAV4,2008,local used,automatic,"₦ 4,300,000"
Lexus ES 2017 Black,Lexus,ES,2017,foreign used,automatic,"₦ 25,000,000"
Toyota Camry XSE V6 4dr Sedan (3.5L 6cyl 6A) 2016 Black,Toyota,Camry XSE,2016,foreign used,automatic,"₦ 18,500,000"
Toyota Venza Limited AWD V6 2013 Black,Toyota,Venza Limited,2013,foreign used,automatic,"₦ 16,000,000"
Lexus GX 460 Luxury 2015 Black,Lexus,GX 460,2015,foreign used,automatic,"₦ 42,000,000"
Toyota Vellfire 2015 Black,Toyota,Vellfire,2015,foreign used,automatic,"₦ 18,000,000"
Mercedes-Benz CLS 2018 Black,Mercedes-Benz,CLS,2018,foreign used,automatic,"₦ 33,000,000"
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2013 Black,Acura,MDX Technology,2013,foreign used,automatic,"₦ 11,500,000"
Hyundai Elantra 2015 Gray,Hyundai,Elantra,2015,local used,automatic,"₦ 11,200,000"
Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2016 Gray,Toyota,Camry XLE,2016,foreign used,automatic,"₦ 16,500,000"
BMW 530i 2008 White,BMW,530i,2008,local used,automatic,"₦ 5,700,000"
Toyota Highlander 2016 Black,Toyota,Highlander,2016,local used,automatic,"₦ 21,500,000"
Honda Accord EX-L 4dr Sedan FWD (2.4L 4cyl 2A) 2013 Black,Honda,Accord EX-L,2013,local used,automatic,"₦ 9,800,000"
Audi A3 2015 Gray,Audi,A3,2015,foreign used,automatic,"₦ 12,500,000"
Peugeot 206 2004 Blue,Peugeot,206,2004,local used,manual,"₦ 3,900,000"
Honda Civic 2007 Black,Honda,Civic,2007,local used,automatic,"₦ 4,950,000"
Honda Accord 2009 Brown,Honda,Accord,2009,local used,automatic,"₦ 4,800,000"
Lexus GX 2007 Silver,Lexus,GX,2007,local used,automatic,"₦ 7,600,000"
Toyota Highlander Limited 2012 Blue,Toyota,Highlander Limited,2012,foreign used,automatic,"₦ 17,800,000"
Toyota 4-Runner Limited 2008 Gold,Toyota,4-Runner Limited,2008,foreign used,automatic,"₦ 15,000,000"
Toyota Avalon Limited 4dr Sedan (3.5L 6cyl 6A) 2014 Silver,Toyota,Avalon Limited,2014,local used,automatic,"₦ 12,500,000"
Lexus ES 350 FWD 2015 White,Lexus,ES 350,2015,foreign used,automatic,"₦ 19,000,000"
Toyota RAV4 2.5 Limited 4x4 2012 Black,Toyota,RAV4 2,2012,foreign used,automatic,"₦ 16,000,000"
Toyota Corolla LE 2020 Red,Toyota,Corolla LE,2020,foreign used,automatic,"₦ 27,000,000"
Lexus ES 350 FWD 2018 Gray,Lexus,ES 350,2018,foreign used,automatic,"₦ 26,000,000"
Toyota RAV4 2.5 Limited 4x4 2012 Brown,Toyota,RAV4 2,2012,foreign used,automatic,"₦ 15,800,000"
Acura ZDX Base AWD 2013 Silver,Acura,ZDX Base,2013,foreign used,automatic,"₦ 20,000,000"
Mercedes-Benz GLK-Class Base GLK 250 BlueTEC 4dr AWD 4MATIC (2.1L 4cyl),,,,foreign used,automatic,"₦ 20,000,000"
Toyota Camry 2013 Silver,Toyota,Camry,2013,foreign used,automatic,"₦ 15,400,000"
Peugeot 307 2007 Gray,Peugeot,307,2007,local used,manual,"₦ 4,200,000"
Honda Civic 2014 Maroon,Honda,Civic,2014,foreign used,automatic,"₦ 11,500,000"
Honda Accord 2014 White,Honda,Accord,2014,foreign used,automatic,"₦ 13,500,000"
Honda Accord 2008 Gold,Honda,Accord,2008,local used,automatic,"₦ 6,100,000"
Toyota Camry 2011 Black,Toyota,Camry,2011,foreign used,automatic,"₦ 18,984,375"
Acura MDX 2012 Gray,Acura,MDX,2012,foreign used,automatic,"₦ 11,500,000"
Hyundai Santa Fe 2014 Silver,Hyundai,Santa Fe,2014,foreign used,automatic,"₦ 14,000,000"
Lexus ES 350 2008 Silver,Lexus,ES 350,2008,foreign used,automatic,"₦ 11,000,000"
Honda Accord 2009,Honda,Accord,2009,local used,automatic,"₦ 4,500,000"
Lexus RX 2011 Black,Lexus,RX,2011,foreign used,automatic,"₦ 18,000,000"
Toyota Corolla L 4dr Sedan (1.8L 4cyl 6M) 2015 Silver,Toyota,Corolla L,2015,foreign used,automatic,"₦ 15,300,000"
Acura MDX Technology and Entertainment Packages 4dr SUV (3.5L 6cyl 6A),,,,foreign used,automatic,"₦ 16,500,000"
Toyota Corolla LE 2020 Gray,Toyota,Corolla LE,2020,foreign used,automatic,"₦ 26,500,000"
Toyota Highlander Limited 3.5l 4WD 2013 Brown,Toyota,Highlander Limited,2013,foreign used,,"₦ 15,200,000"
Toyota RAV4 2.0 4x4 Sol 2005 Blue,Toyota,RAV4 2,2005,foreign used,automatic,"₦ 10,500,000"
Lexus RX 350 AWD 2012 Gray,Lexus,RX 350,2012,foreign used,automatic,"₦ 18,000,000"
Toyota Highlander 2023 Gray,Toyota,Highlander,2023,foreign used,automatic,"₦ 75,000,000"
Honda Accord 2016 Silver,Honda,Accord,2016,foreign used,automatic,"₦ 16,900,000"
Peugeot 406 2004 Silver,Peugeot,406,2004,local used,manual,"₦ 4,700,000"
Mercedes-Benz C300 2011 Gray,Mercedes-Benz,C300,2011,foreign used,automatic,"₦ 11,000,000"
Kia Morning 2012 Silver,Kia,Morning,2012,foreign used,automatic,"₦ 7,500,000"
Hyundai Elantra 2019 White,Hyundai,Elantra,2019,foreign used,automatic,"₦ 17,700,000"
Toyota Camry 2012 Silver,Toyota,Camry,2012,foreign used,automatic,"₦ 11,900,000"
Mercedes-Benz GLK-Class 2009 Black,Mercedes-Benz,GLK-Class,2009,local used,automatic,"₦ 7,500,000"
Toyota Highlander Limited 2012 Silver,Toyota,Highlander Limited,2012,foreign used,automatic,"₦ 17,700,000"
Toyota 4-Runner 2009 Black,Toyota,4-Runner,2009,foreign used,automatic,"₦ 16,000,000"
Toyota FJ Cruiser 4x4 Automatic 2012 Red,Toyota,FJ Cruiser,2012,foreign used,automatic,"₦ 29,000,000"
Toyota 4-Runner Limited 4dr SUV 4WD (4.0L 6cyl 5A) 2015 Gray,Toyota,4-Runner Limited,2015,foreign used,automatic,"₦ 38,000,000"
Lexus RX 300 4WD 2020 Gray,Lexus,RX 300,2020,foreign used,automatic,"₦ 58,000,000"
Toyota RAV4 2017 Blue,Toyota,RAV4,2017,foreign used,automatic,"₦ 26,500,000"
Toyota Highlander Limited 3.5L 2WD 2013 Gray,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 15,200,000"
Toyota Camry 2012 White,Toyota,Camry,2012,foreign used,automatic,"₦ 15,200,000"
Lexus RX 350 Premium AWD 2024 Gray,Lexus,RX 350,2024,foreign used,automatic,"₦ 85,000,000"
Mercedes-Benz C300 Luxury 4Matic Sedan AWD (2.0L 4cyl 7A) 2016 Black,Mercedes-Benz,C300 Luxury,2016,foreign used,automatic,"₦ 26,000,000"
Acura MDX Advance Pkg SH-AWD 2019 Silver,Acura,MDX Advance,2019,foreign used,automatic,"₦ 23,000,000"
Peugeot 206 2004 Black,Peugeot,206,2004,local used,manual,"₦ 3,400,000"
Toyota Yaris 2007 Blue,Toyota,Yaris,2007,local used,automatic,"₦ 7,000,000"
BMW 3 Series 2013 Black,BMW,3 Series,2013,foreign used,automatic,"₦ 16,000,000"
Mercedes-Benz C300 2014 Gray,Mercedes-Benz,C300,2014,local used,automatic,"₦ 10,000,000"
Lexus RX 350 AWD 2012 Black,Lexus,RX 350,2012,foreign used,automatic,"₦ 19,000,000"
Acura MDX 2010 Black,Acura,MDX,2010,foreign used,automatic,"₦ 8,850,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2014 Red,Toyota,Camry SE,2014,foreign used,automatic,"₦ 14,500,000"
Toyota Sienna Limited AWD 7-Passenger 2013 Gray,Toyota,Sienna Limited,2013,foreign used,automatic,"₦ 19,500,000"
Mazda CX-9 Sport 4dr SUV AWD (3.7L 6cyl 6A) 2015 Black,Mazda,CX-9 Sport,2015,foreign used,automatic,"₦ 17,500,000"
Toyota Camry 2013 Red,Toyota,Camry,2013,foreign used,automatic,"₦ 15,600,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2010 Black,Acura,MDX SUV,2010,foreign used,automatic,"₦ 12,000,000"
Toyota Venza 2011 Red,Toyota,Venza,2011,foreign used,automatic,"₦ 12,500,000"
Toyota Camry 2009 Green,Toyota,Camry,2009,local used,automatic,"₦ 7,800,000"
Mercedes-Benz E350 2013 White,Mercedes-Benz,E350,2013,foreign used,automatic,"₦ 18,000,000"
BMW 3 Series 2013 Black,BMW,3 Series,2013,local used,automatic,"₦ 10,500,000"
Honda Crosstour 2010 White,Honda,Crosstour,2010,local used,automatic,"₦ 7,700,000"
Honda Accord 2020 Black,Honda,Accord,2020,foreign used,automatic,"₦ 22,500,000"
Lexus GS 350 2008 Silver,Lexus,GS 350,2008,foreign used,automatic,"₦ 6,200,000"
Jetour Dashing 2024 Black,Jetour,Dashing,2024,foreign used,automatic,"₦ 35,000,000"
Toyota Camry 2.4 LE 2008 Gray,Toyota,Camry 2,2008,local used,automatic,"₦ 5,000,000"
Toyota Highlander 2006,Toyota,Highlander,2006,local used,automatic,"₦ 6,000,000"
Mercedes-Benz M Class 2015 White,Mercedes-Benz,M Class,2015,foreign used,automatic,"₦ 22,000,000"
Lexus ES 350 2008 Silver,Lexus,ES 350,2008,foreign used,automatic,"₦ 10,800,000"
Acura MDX 2016 Maroon,Acura,MDX,2016,foreign used,automatic,"₦ 15,300,000"
Mercedes-Benz M Class ML 350 4Matic 2010 Brown,Mercedes-Benz,M Class,2010,local used,automatic,"₦ 8,700,000"
Acura MDX SUV 4dr AWD (3.7L 6cyl 6A) 2013 Gray,Acura,MDX SUV,2013,foreign used,automatic,"₦ 11,500,000"
Lexus ES 350 FWD 2015 White,Lexus,ES 350,2015,foreign used,automatic,"₦ 18,500,000"
Toyota RAV4 2.5 Limited 4x4 2012 Black,Toyota,RAV4 2,2012,foreign used,automatic,"₦ 22,500,000"
Honda Accord 2014 White,Honda,Accord,2014,foreign used,automatic,"₦ 13,800,000"
Toyota Highlander Limited 3.5l 4WD 2013 Blue,Toyota,Highlander Limited,2013,foreign used,automatic,"₦ 15,700,000"
Toyota Camry 2008 Silver,Toyota,Camry,2008,foreign used,automatic,"₦ 10,800,000"
Toyota Highlander Limited Platinum V6 4x4 (3.5L 6cyl 6A) 2016 Red,Toyota,Highlander Limited,2016,foreign used,automatic,"₦ 26,500,000"
Acura MDX Technology Package SUV AWD (3.7L 6cyl 6A) 2013 Gray,Acura,MDX Technology,2013,foreign used,automatic,"₦ 10,500,000"
Volkswagen Passat 2019 Black,Volkswagen,Passat,2019,foreign used,automatic,"₦ 22,000,000"
BMW 328i 2013 White,BMW,328i,2013,foreign used,automatic,"₦ 13,800,000"
Toyota Corolla 2016 White,Toyota,Corolla,2016,foreign used,automatic,"₦ 13,500,000"
Honda Civic 2007 Gray,Honda,Civic,2007,local used,automatic,"₦ 5,000,000"
Honda Accord 2011 White,Honda,Accord,2011,local used,automatic,"₦ 6,300,000"
Toyota RAV4 2014 Gray,Toyota,RAV4,2014,local used,automatic,"₦ 14,500,000"
Toyota Camry 2012 Gray,Toyota,Camry,2012,local used,automatic,"₦ 10,000,000"
Land Rover Range Rover Evoque 2018 White,Land,Rover Range,2018,local used,automatic,"₦ 13,900,000"
Toyota Camry SE 4dr Sedan (2.5L 4cyl 6A) 2011 Silver,Toyota,Camry SE,2011,foreign used,automatic,"₦ 11,700,000"
Toyota RAV4 Limited V6 2008 Blue,Toyota,RAV4 Limited,2008,foreign used,automatic,"₦ 13,000,000"
Toyota Land Cruiser Prado 4.0 2020 Black,Toyota,Land Cruiser,2020,foreign used,automatic,"₦ 80,000,000"
Acura MDX SUV 4dr AWD (3.7 6cyl 5A) 2008 Black,Acura,MDX SUV,2008,foreign used,automatic,"₦ 9,600,000"
Toyota Hilux 2.4 Diesel 2020 Silver,Toyota,Hilux 2,2020,foreign used,automatic,"₦ 56,500,000"
Toyota Camry SE FWD 2020 Black,Toyota,Camry SE,2020,foreign used,automatic,"₦ 31,000,000"
